ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1552037,LEHACI Florin Sorin,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Pair,NA
1552039,LUNGU Andrei,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Quadruple Sculls,NA
1552040,MANDRILA Andrei,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Four,NA
1552045,MUNTEANU Adrian,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Eight,NA
1552049,NUTESCU Leontin,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Quadruple Sculls,NA
1552057,BACHMANN Simon,M,NA,NA,NA,Seychelles,SEY,2024 Summer,2024,Summer,Paris,Swimming,Mens 200m Individual Medley,NA
1552058,PRUNDEANU Ioan,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Quadruple Sculls,NA
1552065,SEMCIUC Mugurel Vasile,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Eight,NA
1552074,TIGANESCU Mihaita Vasile,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Eight,NA
1552080,TUDOSA Ciprian,M,NA,NA,NA,Romania,ROU,2024 Summer,2024,Summer,Paris,Rowing,Mens Four,NA
1552086,MEGOS Alexander,M,NA,176,NA,Germany,GER,2024 Summer,2024,Summer,Paris,Sport Climbing,Mens Boulder & Lead,NA
1552087,FLOHE Yannick,M,NA,179,NA,Germany,GER,2024 Summer,2024,Summer,Paris,Sport Climbing,Mens Boulder & Lead,NA
1552089,DOERFFEL Lucia,F,NA,166,NA,Germany,GER,2024 Summer,2024,Summer,Paris,Sport Climbing,Womens Boulder & Lead,NA
1552154,ACCAME Ilaria Elvira,F,NA,175,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 400m Relay,NA
1552155,ACETI Vladimir,M,NA,185,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 400m Relay,NA
1552155,ACETI Vladimir,M,NA,185,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,4 x 400m Relay Mixed,NA
1552156,ALI Chituru,M,NA,198,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 100m,NA
1552156,ALI Chituru,M,NA,198,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 100m Relay,NA
1552157,BIANCIARDI Lapo,M,NA,180,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 400m Relay,NA
1552158,BONGIORNI Anna,F,NA,164,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 200m,NA
1552159,BONORA Alessandra,F,NA,173,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 400m Relay,NA
1552160,BORGA Rebecca,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 400m Relay,NA
1552161,CECCARELLI Samuele,M,NA,184,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 100m Relay,NA
1552162,DESALU Eseosa Fostine,M,NA,180,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 200m,NA
1552162,DESALU Eseosa Fostine,M,NA,180,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 100m Relay,NA
1552163,DOSSO Zaynab,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 100m,NA
1552163,DOSSO Zaynab,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 100m Relay,NA
1552166,HOOPER Gloria,F,NA,174,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 100m Relay,NA
1552167,JACOBS Lamont Marcell,M,NA,186,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 100m,NA
1552167,JACOBS Lamont Marcell,M,NA,186,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 100m Relay,NA
1552168,KADDARI Dalia,F,NA,171,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 200m,NA
1552168,KADDARI Dalia,F,NA,171,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 100m Relay,NA
1552169,LOPEZ Brayan,M,NA,173,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 400m Relay,NA
1552170,MANGIONE Alice,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 400m,NA
1552170,MANGIONE Alice,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 400m Relay,NA
1552170,MANGIONE Alice,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,4 x 400m Relay Mixed,NA
1552171,MELI Riccardo,M,NA,199,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 400m Relay,NA
1552172,MELLUZZO Matteo,M,NA,187,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 100m Relay,NA
1552173,PATTA Lorenzo,M,NA,173,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 100m Relay,NA
1552174,PAVESE Alessia,F,NA,180,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 100m Relay,NA
1552175,POLINARI Anna,F,NA,175,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 400m Relay,NA
1552175,POLINARI Anna,F,NA,175,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,4 x 400m Relay Mixed,NA
1552177,RE Davide,M,NA,183,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 400m,NA
1552294,SCOTTI Edoardo,M,NA,184,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 400m Relay,NA
1552294,SCOTTI Edoardo,M,NA,184,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,4 x 400m Relay Mixed,NA
1552295,SIRAGUSA Irene,F,NA,160,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 100m Relay,NA
1552296,SITO Luca,M,NA,189,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 400m,NA
1552296,SITO Luca,M,NA,189,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 400m Relay,NA
1552296,SITO Luca,M,NA,189,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,4 x 400m Relay Mixed,NA
1552298,TORTU Filippo,M,NA,187,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 200m,NA
1552298,TORTU Filippo,M,NA,187,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 4 x 100m Relay,NA
1552299,TREVISAN Giancarla,F,NA,168,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 400m Relay,NA
1552299,TREVISAN Giancarla,F,NA,168,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,4 x 400m Relay Mixed,NA
1552300,TROIANI Virginia,F,NA,167,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 4 x 400m Relay,NA
1552303,ARESE Pietro,M,NA,189,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 1500m,NA
1552304,BARONTINI Simone,M,NA,185,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens 800m,NA
1552305,BATTOCLETTI Nadia,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 10,Silver
1552305,BATTOCLETTI Nadia,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 5000m,Silver
1552306,BELLO Elena,F,NA,165,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 800m,NA
1552307,CAVALLI Ludovica,F,NA,165,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 1500m,NA
1552309,COIRO Eloisa,F,NA,170,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 800m,NA
1552311,CRIPPA Yemaneberhan,M,NA,173,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Mens Marathon,NA
1552312,del BUONO Federica,F,NA,164,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 1500m,NA
1552312,del BUONO Federica,F,NA,164,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens 5000m,NA
1552313,EPIS Giovanna,F,NA,164,NA,Italy,ITA,2024 Summer,2024,Summer,Paris,Athletics,Womens Marathon,NA
1552318,RAHMAN Imranur,M,NA,170,NA,Bangladesh,BAN,2024 Summer,2024,Summer,Paris,Athletics,Mens 100m,NA
